Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),
62.75,0.1,54.496,0.01835,4.7318,4.7337,15.595,71.385,75.416,1552.4,-0.19915,447.31,0.65356,
63,0.1,54.489,0.018352,4.7507,4.7525,15.651,71.362,75.418,1552.6,-0.19902,445.67,0.65379,
63.25,0.1,54.481,0.018355,4.7695,4.7714,15.707,71.339,75.42,1552.7,-0.19888,444.04,0.65402,
63.5,0.1,54.474,0.018357,4.7884,4.7902,15.763,71.316,75.422,1552.8,-0.19874,442.42,0.65424,
63.75,0.1,54.466,0.01836,4.8072,4.8091,15.819,71.293,75.424,1552.9,-0.19861,440.81,0.65447,
64,0.1,54.459,0.018362,4.8261,4.8279,15.875,71.27,75.427,1553,-0.19847,439.21,0.65469,
64.25,0.1,54.451,0.018365,4.845,4.8468,15.931,71.247,75.429,1553.1,-0.19833,437.62,0.65491,
64.5,0.1,54.444,0.018368,4.8638,4.8656,15.987,71.224,75.431,1553.2,-0.19819,436.04,0.65513,
64.75,0.1,54.436,0.01837,4.8827,4.8845,16.043,71.2,75.433,1553.3,-0.19806,434.46,0.65536,
65,0.1,54.429,0.018373,4.9015,4.9034,16.099,71.177,75.436,1553.4,-0.19792,432.9,0.65557,
65.25,0.1,54.421,0.018375,4.9204,4.9222,16.154,71.154,75.438,1553.5,-0.19778,431.35,0.65579,
65.5,0.1,54.414,0.018378,4.9392,4.9411,16.21,71.131,75.44,1553.6,-0.19764,429.81,0.65601,
65.75,0.1,54.406,0.01838,4.9581,4.9599,16.266,71.108,75.443,1553.7,-0.19751,428.27,0.65623,
66,0.1,54.399,0.018383,4.977,4.9788,16.321,71.085,75.445,1553.8,-0.19737,426.75,0.65644,
66.25,0.1,54.391,0.018385,4.9958,4.9977,16.377,71.061,75.448,1553.8,-0.19723,425.23,0.65666,
66.5,0.1,54.383,0.018388,5.0147,5.0165,16.433,71.038,75.45,1553.9,-0.1971,423.73,0.65687,
66.75,0.1,54.376,0.018391,5.0335,5.0354,16.488,71.015,75.452,1554,-0.19696,422.23,0.65708,
67,0.1,54.368,0.018393,5.0524,5.0543,16.544,70.992,75.455,1554.1,-0.19682,420.74,0.65729,
